_id,nombre,correo,rol,fechaRegistro
6e24354f-8c68-47fc-8bfb-5a4419f1484d,Usuario 31,user31@correo.com,admin,2023-08-26T00:00:00
375e13d0-4c40-4b4a-8b76-fc74d1f22316,Usuario 32,user32@correo.com,repartidor,2023-08-13T00:00:00
1e6a9a40-ee4f-43a4-988a-86a10a9ece08,Usuario 33,user33@correo.com,repartidor,2024-10-06T00:00:00
6f430565-3488-4a15-b09e-a02021068c64,Usuario 34,user34@correo.com,admin,2024-03-10T00:00:00
0def09d4-a94a-4eb8-ad3f-428f3debe3d6,Usuario 35,user35@correo.com,repartidor,2024-03-06T00:00:00
2049dc13-3ac8-4ec6-a0e1-420276db5954,Usuario 36,user36@correo.com,cliente,2023-11-25T00:00:00
0aeecf4d-b52a-49bc-a591-3aaecf922987,Usuario 37,user37@correo.com,cliente,2022-05-31T00:00:00
6c074cd1-3f9b-47c3-9526-d2c78f8f9194,Usuario 38,user38@correo.com,admin,2023-02-27T00:00:00
2d4ebe68-0b3c-4007-8330-2f3bea64ea8e,Usuario 39,user39@correo.com,cliente,2023-03-26T00:00:00
78d7317e-4698-4e18-95d5-b80ee768dea5,Usuario 40,user40@correo.com,admin,2023-10-18T00:00:00
4aaa51e8-b392-4bb9-8441-0fe31280162a,Usuario 41,user41@correo.com,admin,2024-12-05T00:00:00
6cf53f1f-555b-4f74-bd72-df348c03d58a,Usuario 42,user42@correo.com,admin,2023-11-21T00:00:00
420cde2d-c954-45ca-8c76-02854700c677,Usuario 43,user43@correo.com,admin,2023-02-25T00:00:00
fedb084f-6344-4e5a-9743-8ff10c9467f6,Usuario 44,user44@correo.com,admin,2023-05-16T00:00:00
27613df5-7915-4fdc-a112-322fd78cbfa0,Usuario 45,user45@correo.com,admin,2024-08-19T00:00:00
b9554982-daac-4f05-973a-e2d38c71ee4a,Usuario 46,user46@correo.com,admin,2023-11-22T00:00:00
969b725b-8966-4ce7-9ac7-5f7e30bb5da8,Usuario 47,user47@correo.com,cliente,2024-09-08T00:00:00
d524cf3f-2703-48df-b174-ba8205a11649,Usuario 48,user48@correo.com,cliente,2023-05-27T00:00:00
da297681-cda2-4893-b338-f05688c0ce22,Usuario 49,user49@correo.com,repartidor,2022-02-05T00:00:00
4ed347c8-6d77-4b00-8cf3-efe6f9f3a42c,Usuario 50,user50@correo.com,admin,2022-10-19T00:00:00
